regime,ENERGY,FIN,FX,HC,MKT,TECH
bear,-0.25,-0.14111863907407712,-0.12065218797243595,-0.03537988476578669,-0.03612209149716486,0.011077522435544003
flat,0.1031859954078328,0.09313498334771893,-0.08855162679212027,-0.033613388892865005,0.21344783959410954,0.25
bull,0.2384623546988123,0.21700574443203036,-0.054033987228495166,0.12026955924485731,0.1969294604531016,0.23747031148558653
