date,isin,ticker,price
2023-04-27,CH0038863350,NESN.SW,102.0749
2023-04-28,CH0038863350,NESN.SW,102.8111
2023-05-02,CH0038863350,NESN.SW,102.847
2023-05-03,CH0038863350,NESN.SW,104.2475
2023-05-04,CH0038863350,NESN.SW,103.7807
2023-05-05,CH0038863350,NESN.SW,104.5527
2023-05-08,CH0038863350,NESN.SW,104.4809
2023-05-09,CH0038863350,NESN.SW,104.5168
2023-05-10,CH0038863350,NESN.SW,102.865
2023-05-11,CH0038863350,NESN.SW,103.4036
2023-05-12,CH0038863350,NESN.SW,103.2241
2023-05-15,CH0038863350,NESN.SW,103.1163
2023-05-16,CH0038863350,NESN.SW,102.7572
2023-05-17,CH0038863350,NESN.SW,101.6979
2023-05-19,CH0038863350,NESN.SW,102.1827
2023-05-22,CH0038863350,NESN.SW,101.4106
2023-05-23,CH0038863350,NESN.SW,100.9258
2023-05-24,CH0038863350,NESN.SW,100.7462
2023-05-25,CH0038863350,NESN.SW,99.9203
2023-05-26,CH0038863350,NESN.SW,100.6026
2023-05-30,CH0038863350,NESN.SW,97.263
2023-05-31,CH0038863350,NESN.SW,96.8679
2023-06-01,CH0038863350,NESN.SW,97.658
2023-06-02,CH0038863350,NESN.SW,98.3941
2023-06-05,CH0038863350,NESN.SW,97.658
2023-06-06,CH0038863350,NESN.SW,97.9991
2023-06-07,CH0038863350,NESN.SW,96.7961
2023-06-08,CH0038863350,NESN.SW,96.06
2023-06-09,CH0038863350,NESN.SW,96.2036
2023-06-12,CH0038863350,NESN.SW,96.2036
2023-06-13,CH0038863350,NESN.SW,95.7368
2023-06-14,CH0038863350,NESN.SW,95.629
2023-06-15,CH0038863350,NESN.SW,96.8859
2023-06-16,CH0038863350,NESN.SW,97.0116
2023-06-19,CH0038863350,NESN.SW,96.9577
2023-06-20,CH0038863350,NESN.SW,96.3832
2023-06-21,CH0038863350,NESN.SW,97.0475
2023-06-22,CH0038863350,NESN.SW,97.1193
2023-06-23,CH0038863350,NESN.SW,97.658
2023-06-26,CH0038863350,NESN.SW,96.9577
2023-06-27,CH0038863350,NESN.SW,96.8679
2023-06-28,CH0038863350,NESN.SW,96.042
2023-06-29,CH0038863350,NESN.SW,95.9881
2023-06-30,CH0038863350,NESN.SW,96.5986
2023-07-03,CH0038863350,NESN.SW,96.8141
2023-07-04,CH0038863350,NESN.SW,96.024
2023-07-05,CH0038863350,NESN.SW,95.9702
2023-07-06,CH0038863350,NESN.SW,95.234
2023-07-07,CH0038863350,NESN.SW,93.9592
2023-07-10,CH0038863350,NESN.SW,94.7851
2023-07-11,CH0038863350,NESN.SW,94.3363
2023-07-12,CH0038863350,NESN.SW,93.9951
2023-07-13,CH0038863350,NESN.SW,94.3542
2023-07-14,CH0038863350,NESN.SW,94.444
2023-07-17,CH0038863350,NESN.SW,94.031
2023-07-18,CH0038863350,NESN.SW,93.7078
2023-07-19,CH0038863350,NESN.SW,94.049
2023-07-20,CH0038863350,NESN.SW,93.4206
2023-07-21,CH0038863350,NESN.SW,93.9592
2023-07-24,CH0038863350,NESN.SW,93.7258
2023-07-25,CH0038863350,NESN.SW,93.9053
2023-07-26,CH0038863350,NESN.SW,94.4799
2023-07-27,CH0038863350,NESN.SW,96.9577
2023-07-28,CH0038863350,NESN.SW,96.3832
2023-07-31,CH0038863350,NESN.SW,95.9522
2023-08-02,CH0038863350,NESN.SW,96.3293
2023-08-03,CH0038863350,NESN.SW,94.5876
2023-08-04,CH0038863350,NESN.SW,93.5103
2023-08-07,CH0038863350,NESN.SW,93.6899
2023-08-08,CH0038863350,NESN.SW,93.4026
2023-08-09,CH0038863350,NESN.SW,93.636
2023-08-10,CH0038863350,NESN.SW,94.3004
2023-08-11,CH0038863350,NESN.SW,93.4385
2023-08-14,CH0038863350,NESN.SW,93.8156
2023-08-15,CH0038863350,NESN.SW,92.4689
2023-08-16,CH0038863350,NESN.SW,93.5642
2023-08-17,CH0038863350,NESN.SW,92.7383
2023-08-18,CH0038863350,NESN.SW,93.241
2023-08-21,CH0038863350,NESN.SW,93.5103
2023-08-22,CH0038863350,NESN.SW,93.5103
2023-08-23,CH0038863350,NESN.SW,94.0131
2023-08-24,CH0038863350,NESN.SW,94.8929
2023-08-25,CH0038863350,NESN.SW,95.3777
2023-08-28,CH0038863350,NESN.SW,95.6649
2023-08-29,CH0038863350,NESN.SW,96.024
2023-08-30,CH0038863350,NESN.SW,95.4495
2023-08-31,CH0038863350,NESN.SW,95.5213
2023-09-01,CH0038863350,NESN.SW,94.6774
2023-09-04,CH0038863350,NESN.SW,94.3004
2023-09-05,CH0038863350,NESN.SW,93.1333
2023-09-06,CH0038863350,NESN.SW,93.5462
2023-09-07,CH0038863350,NESN.SW,94.444
2023-09-08,CH0038863350,NESN.SW,94.462
2023-09-11,CH0038863350,NESN.SW,95.252
2023-09-12,CH0038863350,NESN.SW,94.3901
2023-09-13,CH0038863350,NESN.SW,93.636
2023-09-14,CH0038863350,NESN.SW,94.2285
2023-09-15,CH0038863350,NESN.SW,94.6415
2023-09-18,CH0038863350,NESN.SW,94.9108
2023-09-19,CH0038863350,NESN.SW,94.8031
2023-09-20,CH0038863350,NESN.SW,95.8086
2023-09-21,CH0038863350,NESN.SW,96.8859
2023-09-22,CH0038863350,NESN.SW,95.9702
2023-09-25,CH0038863350,NESN.SW,96.1856
2023-09-26,CH0038863350,NESN.SW,94.8031
2023-09-27,CH0038863350,NESN.SW,93.0974
2023-09-28,CH0038863350,NESN.SW,92.3792
2023-09-29,CH0038863350,NESN.SW,93.1333
2023-10-02,CH0038863350,NESN.SW,92.2535
2023-10-03,CH0038863350,NESN.SW,92.1457
2023-10-04,CH0038863350,NESN.SW,92.3253
2023-10-05,CH0038863350,NESN.SW,92.3792
2023-10-06,CH0038863350,NESN.SW,90.045
2023-10-09,CH0038863350,NESN.SW,91.0325
2023-10-10,CH0038863350,NESN.SW,92.7383
2023-10-11,CH0038863350,NESN.SW,94.4081
2023-10-12,CH0038863350,NESN.SW,92.846
2023-10-13,CH0038863350,NESN.SW,92.5408
2023-10-16,CH0038863350,NESN.SW,92.3073
2023-10-17,CH0038863350,NESN.SW,92.2714
2023-10-18,CH0038863350,NESN.SW,91.8046
2023-10-19,CH0038863350,NESN.SW,88.6535
2023-10-20,CH0038863350,NESN.SW,88.4111
2023-10-23,CH0038863350,NESN.SW,87.7108
2023-10-24,CH0038863350,NESN.SW,88.0161
2023-10-25,CH0038863350,NESN.SW,88.4739
2023-10-26,CH0038863350,NESN.SW,88.7702
2023-10-27,CH0038863350,NESN.SW,87.4954
2023-10-30,CH0038863350,NESN.SW,87.7108
2023-10-31,CH0038863350,NESN.SW,88.034
2023-11-01,CH0038863350,NESN.SW,89.2191
2023-11-02,CH0038863350,NESN.SW,90.2425
2023-11-03,CH0038863350,NESN.SW,89.5512
2023-11-06,CH0038863350,NESN.SW,89.659
2023-11-07,CH0038863350,NESN.SW,89.4345
2023-11-08,CH0038863350,NESN.SW,88.9407
2023-11-09,CH0038863350,NESN.SW,89.6949
2023-11-10,CH0038863350,NESN.SW,89.2191
2023-11-13,CH0038863350,NESN.SW,88.7881
2023-11-14,CH0038863350,NESN.SW,89.237
2023-11-15,CH0038863350,NESN.SW,89.4166
2023-11-16,CH0038863350,NESN.SW,88.5457
2023-11-17,CH0038863350,NESN.SW,88.8689
2023-11-20,CH0038863350,NESN.SW,88.2405
2023-11-21,CH0038863350,NESN.SW,89.5512
2023-11-22,CH0038863350,NESN.SW,90.045
2023-11-23,CH0038863350,NESN.SW,90.0809
2023-11-24,CH0038863350,NESN.SW,90.2066
2023-11-27,CH0038863350,NESN.SW,89.9732
2023-11-28,CH0038863350,NESN.SW,89.237
2023-11-29,CH0038863350,NESN.SW,88.9946
2023-11-30,CH0038863350,NESN.SW,89.1921
2023-12-01,CH0038863350,NESN.SW,88.833
2023-12-04,CH0038863350,NESN.SW,89.7487
2023-12-05,CH0038863350,NESN.SW,89.4345
2023-12-06,CH0038863350,NESN.SW,89.237
2023-12-07,CH0038863350,NESN.SW,88.5816
2023-12-08,CH0038863350,NESN.SW,89.2191
2023-12-11,CH0038863350,NESN.SW,88.8959
2023-12-12,CH0038863350,NESN.SW,88.824
2023-12-13,CH0038863350,NESN.SW,88.3662
2023-12-14,CH0038863350,NESN.SW,87.7288
2023-12-15,CH0038863350,NESN.SW,88.0789
2023-12-18,CH0038863350,NESN.SW,88.052
2023-12-19,CH0038863350,NESN.SW,86.6964
2023-12-20,CH0038863350,NESN.SW,86.7053
2023-12-21,CH0038863350,NESN.SW,87.0734
2023-12-22,CH0038863350,NESN.SW,87.2619
2023-12-27,CH0038863350,NESN.SW,86.9388
2023-12-28,CH0038863350,NESN.SW,86.8939
2023-12-29,CH0038863350,NESN.SW,87.5402
2024-01-03,CH0038863350,NESN.SW,89.1472
2024-01-04,CH0038863350,NESN.SW,88.6714
2024-01-05,CH0038863350,NESN.SW,88.5457
2024-01-08,CH0038863350,NESN.SW,88.6894
2024-01-09,CH0038863350,NESN.SW,88.7163
2024-01-10,CH0038863350,NESN.SW,88.2225
2024-01-11,CH0038863350,NESN.SW,86.7951
2024-01-12,CH0038863350,NESN.SW,87.7467
2024-01-15,CH0038863350,NESN.SW,87.2799
2024-01-16,CH0038863350,NESN.SW,88.3303
2024-01-17,CH0038863350,NESN.SW,88.1417
2024-01-18,CH0038863350,NESN.SW,87.63
2024-01-19,CH0038863350,NESN.SW,87.4684
2024-01-22,CH0038863350,NESN.SW,87.5223
